timestamp,variant,accuracy,precision_weighted,recall_weighted,f1_weighted,cohen_kappa
20260521_045203,v1_class_weights,97.4941,97.5786,97.4941,97.488,0.96651
20260522_165734,v3_kfold,98.9598,98.9641,98.9598,98.9605,0.9861
20260522_173110,v3_kfold,98.9125,98.9126,98.9125,98.9118,0.985467
20260523_135909,v3_kfold,98.7707,98.7747,98.7707,98.7673,0.983566
20260523_180421,v4_combined,98.3924,98.4119,98.3924,98.3899,0.978511
20260523_202941,v4_combined,98.3924,98.4119,98.3924,98.3899,0.978511
20260523_203238,v3_kfold,98.3924,98.4119,98.3924,98.3899,0.978511
20260524_151713,v3_kfold,98.6288,98.6338,98.6288,98.6257,0.981671
20260524_154846,v3_kfold,98.6288,98.6338,98.6288,98.6257,0.981671
20260524_155036,v3_kfold,98.6288,98.6338,98.6288,98.6257,0.981671
